ID,Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Days_Since_Customer,Fam_Size,Num_Accepted
5524,Graduation,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,1,64,3506.7754448925807,1,0
2174,Graduation,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,67,2660.775444892581,3,0
4141,Graduation,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,56,3007.775444892581,2,0
6182,Graduation,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,37,2600.775444892581,3,0
5324,PhD,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,40,2856.775444892581,3,0
7446,Master,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,54,2988.775444892581,3,0
965,Graduation,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,50,3288.7754448925816,2,0
6177,PhD,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,36,3023.775444892581,3,0
4855,PhD,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,1,47,3083.775444892581,3,0
5899,PhD,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,0,0,71,2803.775444892581,4,1
1994,Graduation,52247.25135379061,11,5,5,6,0,2,1,1,1,0,2,7,0,0,38,2921.775444892581,3,0
387,Basic,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,45,3288.7754448925816,2,0
2125,Graduation,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,62,2921.775444892581,1,0
8180,Master,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,69,2921.775444892581,3,0
2569,Graduation,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,34,3322.7754448925816,2,0
2114,PhD,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,75,3277.7754448925816,1,2
9736,Graduation,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,41,3247.7754448925816,4,0
4939,Graduation,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,75,3362.7754448925807,2,0
6565,Master,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,72,3153.7754448925816,3,1
2278,2n Cycle,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,36,3535.7754448925807,2,0
9360,Graduation,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,39,3385.7754448925807,2,0
